iter	RMSE
0	1457.201005
1	1423.540106
2	1391.158631
3	1360.859617
4	1330.052167
5	1301.31537
6	1273.343226
7	1245.822367
8	1219.077707
9	1193.207096
10	1168.166426
11	1144.408129
12	1121.931961
13	1100.083689
14	1078.991385
15	1059.140897
16	1039.316684
17	1020.450365
18	1002.3555
19	984.8249144
20	968.180021
21	952.0577168
22	936.7875428
23	922.2158339
24	907.7276898
25	894.2080079
26	881.0250814
27	868.3173293
28	856.449771
29	844.9597988
30	834.0580479
31	823.3258228
32	813.1435276
33	803.3369868
34	794.2192524
35	785.5586517
36	777.0646944
37	768.7796287
38	761.213187
39	753.6759813
40	746.8129394
41	740.1222176
42	733.7600309
43	727.6609235
44	721.7711719
45	716.2836097
46	711.2223148
47	706.3090699
48	701.4614577
49	696.8471815
50	692.5697145
51	688.5770636
52	684.5596236
53	680.7901755
54	677.1445908
55	673.7338051
56	670.5114567
57	667.4831031
58	664.6395113
59	661.7918114
60	659.2916348
61	656.7243855
62	654.2821419
63	652.0809765
64	649.8267909
65	647.6371021
66	645.6943309
67	643.738834
68	641.988695
69	640.2919562
70	638.6463059
71	636.9724655
72	635.4870857
73	634.0681033
74	632.7510762
75	631.4800742
76	630.4943213
77	629.3268245
78	628.1776064
79	627.1467071
80	626.1270985
81	625.0695826
82	624.2157878
83	623.3178339
84	622.4364686
85	621.5679406
86	620.7201431
87	620.0178476
88	619.3065949
89	618.6514681
90	618.0395486
91	617.3793344
92	616.6670906
93	616.061599
94	615.4679403
95	614.8851993
96	614.3327976
97	613.8421814
98	613.2456361
99	612.7133074
100	612.2443217
101	611.8516026
102	611.4357193
103	611.2122555
104	610.8590485
105	610.4919383
106	610.1885679
107	609.8362302
108	609.5640379
109	609.2332656
110	608.9035062
111	608.5747203
112	608.2812447
113	607.9782275
114	607.543276
115	607.3615027
116	607.0703949
117	606.784574
118	606.5234134
119	606.3391254
120	606.1760608
121	605.9793207
122	605.79337
123	605.4911957
124	605.2282624
125	605.0594587
126	604.8153934
127	604.4722029
128	604.1085009
129	603.8752245
130	603.6629927
131	603.5568208
132	603.3451205
133	603.0382977
134	602.8678546
135	602.6776325
136	602.4941373
137	602.3777327
138	602.3019435
139	602.2034135
140	602.0620907
141	601.8537556
142	601.6416534
143	601.4638846
144	601.2899544
145	601.1250735
146	600.9809184
147	600.8586084
148	600.7278762
149	600.6500243
150	600.4687566
151	600.2320265
152	600.1141902
153	600.0490228
154	599.993973
155	599.9177712
156	599.7850428
157	599.6124034
158	599.5052659
159	599.2829195
160	599.0777919
161	598.9808479
162	598.8639731
163	598.6316224
164	598.6098846
165	598.5167573
166	598.4455554
167	598.2347059
168	598.0509477
169	597.7142093
170	597.6210644
171	597.3179277
172	597.1414042
173	596.9091612
174	596.8387934
175	596.8127643
176	596.7291761
177	596.6096075
178	596.4968558
179	596.347696
180	596.2770753
181	595.7059926
182	595.613968
183	595.51424
184	595.4708117
185	595.4618462
186	595.3790181
187	595.3006417
188	594.9466314
189	594.8114769
190	594.6124
191	594.4234785
192	594.3013939
193	594.1198193
194	593.9268961
195	593.7112866
196	593.6320016
197	593.4913986
198	593.4575918
199	593.373165
200	593.3145599
201	593.091684
202	592.841278
203	592.7164666
204	592.6855653
205	592.6293923
206	592.5912729
207	592.4841431
208	592.3529928
209	592.3045469
210	592.2541831
211	592.0722018
212	591.7575497
213	591.7394046
214	591.5213549
215	591.4829279
216	591.3619166
217	591.3421046
218	591.2147716
219	591.1823933
220	591.1506148
221	591.1362206
222	590.9002481
223	590.8261503
224	590.535415
225	590.4960867
226	590.4166918
227	590.2275589
228	590.1015128
229	590.0378418
230	589.9995566
231	589.9936247
232	589.9223447
233	589.8514169
234	589.8017653
235	589.6863551
236	589.6270629
237	589.6026694
238	589.4435674
239	589.4162801
240	589.3807208
241	589.1741014
242	589.1339953
243	589.047947
244	588.794769
245	588.6360307
246	588.5834175
247	588.4844575
248	588.3497076
249	588.2890502
250	588.2230948
251	588.1558769
252	588.1260709
253	588.0588575
254	588.0109771
255	587.9438613
256	587.8138883
257	587.7758311
258	587.7404319
259	587.7147051
260	587.6830527
261	587.6797567
262	587.3673927
263	587.3298678
264	587.1278259
265	587.0773222
266	586.9632447
267	586.8510375
268	586.5933282
269	586.4736955
270	586.4539765
271	586.3975802
272	586.2985559
273	586.144027
274	586.111712
275	586.0637211
276	585.9800926
277	585.9722423
278	585.9633465
279	585.8663478
280	585.8163544
281	585.7970843
282	585.7243673
283	585.7208596
284	585.5987461
285	585.5643089
286	585.4491277
287	585.4332823
288	585.3188063
289	585.1492336
290	585.0273816
291	585.0235228
292	584.7064232
293	584.5978841
294	584.499467
295	584.460446
296	584.4224125
297	584.3700086
298	584.3181372
299	584.3179468
300	584.2814099
301	584.187668
302	584.1642319
303	584.1146571
304	584.1000301
305	584.0120569
306	583.9785892
307	583.8952934
308	583.8904256
309	583.837407
310	583.7998866
311	583.7943932
312	583.6236629
313	583.6206199
314	583.5687512
315	583.5568462
316	583.5053554
317	583.411102
318	583.1214389
319	583.0351559
320	582.9938857
321	582.9837803
322	582.8931454
323	582.8289946
324	582.7577418
325	582.6568277
326	582.6267773
327	582.5883584
328	582.5620544
329	582.5194695
330	582.5126818
331	582.4056869
332	582.3698317
333	582.2889633
334	582.2625661
335	582.1909864
336	582.1416808
337	582.1082332
338	582.0615512
339	581.8176942
340	581.8037114
341	581.7421453
342	581.6643177
343	581.6353635
344	581.602904
345	581.573641
346	581.5673447
347	581.5295343
348	581.5165671
349	581.2775176
350	581.2383219
351	581.2230623
352	581.1888166
353	581.0860367
354	580.7424656
355	580.7005197
356	580.6939998
357	580.680918
358	580.6642445
359	580.6480317
360	580.6063445
361	580.4864163
362	580.4856774
363	580.4742744
364	580.4543503
365	580.340542
366	580.3296811
367	580.2205606
368	580.1923687
369	580.1289313
370	580.0949526
371	580.0051633
372	579.9406579
373	579.8950304
374	579.8066079
375	579.7635917
376	579.6506774
377	579.6143908
378	579.5946313
379	579.4321848
380	579.4283468
381	579.3935389
382	579.391373
383	579.3036465
384	579.2401003
385	579.1992273
386	579.1738003
387	579.1479631
388	579.1196199
389	579.1055142
390	579.0764258
391	578.9912652
392	578.9686993
393	578.9536169
394	578.8959286
395	578.778974
396	578.7645991
397	578.7150554
398	578.6936443
399	578.6740452
400	578.659482
401	578.6075324
402	578.5946904
403	578.564699
404	578.5500878
405	578.547319
406	578.5054119
407	578.3958757
