iter	Passed	Remaining
0	494	2472644
1	589	1473690
2	668	1114320
3	708	884364
4	786	785733
5	867	721708
6	945	674682
7	1036	646950
8	1108	614538
9	1184	591202
10	1290	585351
11	1379	573483
12	1453	557476
13	1535	546994
14	1635	543515
15	1733	540072
16	1812	531222
17	1892	523937
18	1960	514082
19	2029	505271
20	2103	498688
21	2172	491582
22	2242	485202
23	2315	480062
24	2388	475262
25	2456	469961
26	2519	464072
27	2585	459022
28	2637	452100
29	2701	447483
30	2760	442437
31	2832	439812
32	2891	435264
33	2958	432076
34	3025	429231
35	3089	425985
36	3156	423374
37	3239	423064
38	3306	420658
39	3384	419668
40	3450	417300
41	3502	413464
42	3575	412187
43	3641	410113
44	3703	407837
45	3767	405731
46	3809	401452
47	3885	400880
48	3969	401106
49	4039	399890
50	4105	398354
51	4173	397092
52	4242	396012
53	4307	394521
54	4373	393251
55	4438	391819
56	4498	390126
57	4561	388632
58	4623	387219
59	4683	385588
60	4720	382229
61	4780	380766
62	4840	379350
63	4903	378150
64	4967	377119
65	5032	376219
66	5093	375054
67	5155	373908
68	5218	372944
69	5275	371561
70	5340	370751
71	5405	369943
72	5466	368967
73	5541	368916
74	5611	368477
75	5669	367351
76	5696	364231
77	5755	363204
78	5818	362417
79	5880	361624
80	5942	360878
81	6004	360101
82	6067	359425
83	6151	360025
84	6223	359857
85	6285	359177
86	6353	358769
87	6421	358415
88	6490	358165
89	6557	357748
90	6618	357042
91	6683	356549
92	6746	355954
93	6808	355336
94	6875	354977
95	6934	354224
96	6992	353430
97	7050	352650
98	7113	352161
99	7174	351530
100	7242	351276
101	7330	352005
102	7399	351801
103	7421	349365
104	7485	348954
105	7555	348816
106	7607	347868
107	7667	347324
108	7747	347639
109	7817	347541
110	7889	347512
111	7949	346934
112	8022	346937
113	8106	347462
114	8174	347259
115	8247	347233
116	8324	347408
117	8413	348070
118	8479	347811
119	8548	347650
120	8620	347612
121	8679	347038
122	8736	346388
123	8799	346007
124	8859	345539
125	8921	345096
126	8978	344494
127	9037	343989
128	9105	343812
129	9169	343489
130	9228	343022
131	9292	342685
132	9355	342342
133	9418	342025
134	9477	341556
135	9540	341202
136	9603	340899
137	9666	340579
138	9704	339362
139	9760	338815
140	9819	338399
141	9887	338272
142	9961	338346
143	10024	338057
144	10086	337707
145	10154	337616
146	10217	337302
147	10281	337063
148	10344	336791
149	10402	336339
150	10467	336136
151	10539	336154
152	10613	336225
153	10681	336132
154	10703	334584
155	10771	334458
156	10840	334408
157	10907	334253
158	10967	333933
159	11022	333442
160	11087	333233
161	11156	333176
162	11226	333133
163	11295	333074
164	11332	332082
165	11399	331958
166	11461	331710
167	11527	331546
168	11594	331428
169	11659	331261
170	11726	331142
171	11790	330969
172	11864	331044
173	11933	330989
174	11992	330641
175	12055	330425
176	12124	330378
177	12210	330775
178	12271	330498
179	12336	330351
180	12404	330256
181	12471	330147
182	12536	329992
183	12598	329742
184	12657	329442
185	12699	328686
186	12780	328941
187	12839	328644
188	12905	328501
189	12968	328300
190	13026	327975
191	13084	327654
192	13146	327424
193	13207	327197
194	13275	327121
195	13339	326957
196	13398	326653
197	13457	326384
198	13521	326220
199	13583	326013
200	13646	325824
201	13718	325845
202	13789	325860
203	13857	325791
204	13915	325490
205	13973	325198
206	14037	325036
207	14095	324747
208	14163	324667
209	14226	324495
210	14305	324696
211	14396	325148
212	14465	325106
213	14533	325040
214	14600	324953
215	14672	324975
216	14737	324833
217	14804	324739
218	14870	324631
219	14947	324778
220	15019	324783
221	15099	324986
222	15179	325169
223	15252	325206
224	15325	325245
225	15394	325192
226	15455	324969
227	15517	324772
228	15573	324468
229	15634	324244
230	15699	324111
231	15735	323393
232	15800	323270
233	15870	323245
234	15931	323029
235	15992	322841
236	16054	322643
237	16117	322489
238	16184	322393
239	16259	322473
240	16280	321497
241	16342	321308
242	16399	321044
243	16461	320855
244	16527	320759
245	16610	320998
246	16668	320748
247	16728	320545
248	16792	320398
249	16852	320201
250	16917	320083
251	16973	319797
252	17027	319475
253	17091	319350
254	17164	319387
255	17230	319305
256	17295	319194
257	17359	319060
258	17423	318943
259	17478	318642
260	17543	318533
261	17558	317535
262	17618	317332
263	17681	317189
264	17740	316984
265	17801	316820
266	17922	317698
267	17982	317508
268	18044	317354
269	18106	317194
270	18166	317014
271	18361	319162
272	18422	318992
273	18480	318763
274	18543	318610
275	18603	318424
276	18693	318742
277	18759	318641
278	18796	318051
279	18857	317888
280	18916	317681
281	18972	317421
282	19031	317214
283	19095	317090
284	19157	316934
285	19191	316319
286	19262	316322
287	19338	316397
288	19409	316387
289	19478	316350
290	19539	316190
291	19597	315984
292	19664	315904
293	19730	315817
294	19795	315728
295	19856	315553
296	19919	315424
297	19977	315221
298	20035	315013
299	20059	314258
300	20109	313940
301	20179	313913
302	20253	313967
303	20310	313746
304	20368	313543
305	20424	313309
306	20490	313227
307	20552	313099
308	20601	312750
309	20661	312588
310	20736	312644
311	20790	312390
312	20863	312414
313	20939	312497
314	21008	312457
315	21065	312256
316	21127	312113
317	21192	312020
318	21260	311980
319	21316	311746
320	21384	311708
321	21465	311844
322	21543	311948
323	21610	311886
324	21668	311690
325	21727	311522
326	21776	311192
327	21836	311036
328	21897	310889
329	21951	310647
330	21992	310217
331	22055	310103
332	22116	309960
333	22175	309797
334	22241	309725
335	22299	309539
336	22354	309317
337	22411	309119
338	22470	308951
339	22524	308723
340	22580	308517
341	22648	308472
342	22708	308312
343	22773	308232
344	22839	308173
345	22896	307981
346	22962	307914
347	23019	307716
348	23091	307738
349	23156	307654
350	23221	307563
351	23265	307216
352	23319	306979
353	23379	306836
354	23439	306696
355	23476	306250
356	23531	306037
357	23566	305570
358	23623	305391
359	23699	305461
360	23752	305226
361	23813	305106
362	23843	304581
363	23898	304380
364	23937	303978
365	23999	303857
366	24045	303553
367	24082	303127
368	24129	302831
369	24191	302721
370	24238	302431
371	24297	302284
372	24357	302151
373	24415	302000
374	24474	301849
